#id: 1502934799
#name: H.sapiens - Whole organism (Integrated)
#score: 25.3
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM, Interaction consistency score: 25.3, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
4448366	9606.ENSP00000405573	780
4436206	9606.ENSP00000276079	776
4435987	9606.ENSP00000271638	768
4433608	9606.ENSP00000233893	768
4439481	9606.ENSP00000321853	764
4443642	9606.ENSP00000359991	758
4434137	9606.ENSP00000250559	753
4447586	9606.ENSP00000389103	752
4439221	9606.ENSP00000318697	751
4449992	9606.ENSP00000441543	750
4437297	9606.ENSP00000296511	750
4441896	9606.ENSP00000349168	741
4447178	9606.ENSP00000384906	739
4439188	9606.ENSP00000318197	729
4438348	9606.ENSP00000307705	717
4439035	9606.ENSP00000316029	716
4434707	9606.ENSP00000259469	715
4450361	9606.ENSP00000451560	714
4437661	9606.ENSP00000300289	711
4444253	9606.ENSP00000362820	709
4451213	9606.ENSP00000477538	706
4449678	9606.ENSP00000433560	703
4441587	9606.ENSP00000346088	701
4436014	9606.ENSP00000272298	696
4436903	9606.ENSP00000291295	696
4441930	9606.ENSP00000349467	696
4449816	9606.ENSP00000437402	696
4442011	9606.ENSP00000350090	696
4440966	9606.ENSP00000339566	695
4450869	9606.ENSP00000468236	690
4441569	9606.ENSP00000345957	687
4446117	9606.ENSP00000376889	687
4447693	9606.ENSP00000391481	685
4449429	9606.ENSP00000428085	685
4432879	9606.ENSP00000215829	684
4435962	9606.ENSP00000270792	684
4444601	9606.ENSP00000364805	683
4449888	9606.ENSP00000439012	680
4437667	9606.ENSP00000300413	677
4442230	9606.ENSP00000352257	676
4433830	9606.ENSP00000242776	673
4445386	9606.ENSP00000369757	671
4433442	9606.ENSP00000228945	670
4438499	9606.ENSP00000309431	669
4441570	9606.ENSP00000345968	667
4451050	9606.ENSP00000472985	666
4442801	9606.ENSP00000356042	664
4442229	9606.ENSP00000352252	663
4443272	9606.ENSP00000358160	663
4444939	9606.ENSP00000366999	663
4451529	9606.ENSP00000480826	663
4451655	9606.ENSP00000482271	663
4451757	9606.ENSP00000483283	663
4451830	9606.ENSP00000484095	663
4451871	9606.ENSP00000484638	663
4451875	9606.ENSP00000484658	663
4451891	9606.ENSP00000484841	663
4437556	9606.ENSP00000299300	656
4437619	9606.ENSP00000300026	654
4444232	9606.ENSP00000362744	653
4448574	9606.ENSP00000410815	650
4450530	9606.ENSP00000456206	648
4445798	9606.ENSP00000373477	643
4445033	9606.ENSP00000367542	642
4448554	9606.ENSP00000410452	641
4437548	9606.ENSP00000299198	641
4438491	9606.ENSP00000309334	641
4434385	9606.ENSP00000254801	638
4443502	9606.ENSP00000359345	635
4434023	9606.ENSP00000247461	628
4433900	9606.ENSP00000244534	628
4444000	9606.ENSP00000361777	628
4444040	9606.ENSP00000361930	626
4435550	9606.ENSP00000265073	617
4436526	9606.ENSP00000283179	616
4436277	9606.ENSP00000278222	616
4434174	9606.ENSP00000251453	614
4437224	9606.ENSP00000296029	607
4450713	9606.ENSP00000463559	606
4436697	9606.ENSP00000286788	606
4442534	9606.ENSP00000354739	605
4444406	9606.ENSP00000363641	603
4438030	9606.ENSP00000304229	601
4447414	9606.ENSP00000386717	601
4433027	9606.ENSP00000217652	600
4435725	9606.ENSP00000266718	599
4444285	9606.ENSP00000363018	599
4448537	9606.ENSP00000410059	598
4434059	9606.ENSP00000248553	598
4432692	9606.ENSP00000164139	595
4450009	9606.ENSP00000441875	593
4438543	9606.ENSP00000309830	590
4439187	9606.ENSP00000318195	587
4437177	9606.ENSP00000295688	587
4448130	9606.ENSP00000400591	585
4445998	9606.ENSP00000376056	585
4437604	9606.ENSP00000299767	584
4433154	9606.ENSP00000221419	581
4448816	9606.ENSP00000416126	575
4441922	9606.ENSP00000349428	574
4434847	9606.ENSP00000261267	574
4433816	9606.ENSP00000242285	573
4444985	9606.ENSP00000367220	567
4446755	9606.ENSP00000381057	562
4448154	9606.ENSP00000401010	562
4448994	9606.ENSP00000418868	560
4439803	9606.ENSP00000325905	557
4450850	9606.ENSP00000467466	552
4437293	9606.ENSP00000296503	552
4450217	9606.ENSP00000447001	551
4449553	9606.ENSP00000430656	551
4442186	9606.ENSP00000351777	549
4448260	9606.ENSP00000403172	549
4441578	9606.ENSP00000346015	547
4449060	9606.ENSP00000419665	547
4443861	9606.ENSP00000361076	546
4448843	9606.ENSP00000416706	546
4447717	9606.ENSP00000391826	545
4441252	9606.ENSP00000342374	542
4450720	9606.ENSP00000463784	541
4449475	9606.ENSP00000428895	540
4433313	9606.ENSP00000225430	538
4445606	9606.ENSP00000371267	537
4432848	9606.ENSP00000211998	537
